	92	-718	-32	174
	420	-204	-76	-174
	1892	1600	65	-196
	2681	1510	54	404
	150	-1187	-152	-163
	-1859	-2042	98	-469
	-516	-393	-1015	2665
	84	-43	-5537	3659
	-1581	-510	-6815	-4019
	-1313	961	2446	-9295
	963	2097	10922	1004
	1209	330	2075	12440
	161	-1365	-12342	3517
	767	-548	-6957	-12648
	1493	461	10791	-8082
	398	182	10922	10005
	-729	87	-6640	11774
	-548	338	-13271	-4696
	84	-117	327	-13489
	860	-540	13292	-2282
	1581	196	7023	12768
	1529	1261	-10802	9590
	1236	1245	-13849	-9830
	1324	79	6564	-15990
	868	-1002	19049	5341
	-60	-813	-1518	20294
	-68	30	-21670	-677
	232	-125	-2796	-22129
	-344	-912	21921	-2872
	-540	-502	5526	21681
	133	464	-20228	4554
	-324	-188	-6367	-19431
	-1662	-1575	16842	-4631
	-1275	-955	5363	14811
	234	1226	-11370	2413
	281	2250	-1190	-8443
	-477	1744	6018	2413
	-204	1138	-4423	2654
	314	464	-1212	-7449
	111	-606	10365	2271
	120	-745	-2162	11916
	969	532	-15084	-4838
	1933	947	3407	-14647
	1807	-630	17028	3407
	-98	-1474	-3342	14428
	-2318	174	-20206	6630
	-2405	1619	-12298	4500
	-1165	835	-6553	3637
	-1217	136	-6269	-8661
	-1480	890	5876	-10507
	10	821	12692	7187
	649	-294	-3320	13751
	-1400	368	-15237	-3418
	-2170	2080	-294	-14931
	196	1228	15750	-939
	1100	-1215	3997	15127
	-1067	-1398	-15062	4358
	-1736	-24	-6171	-14974
	54	-253	14341	-5789
	87	-1526	6247	14570
	-1703	-1706	-13795	4685
	-1144	-936	-4161	-13882
	1512	314	13118	-1409
	1996	1859	327	12703
	-245	2064	-11949	-3014
	-1570	718	4259	-10704
	-472	802	9906	7438
	447	2798	-8519	7831
	-644	2938	-6903	-10715
	-1449	734	11348	-3921
	150	428	2665	12397
	1504	2310	-12757	-764
	-40	1780	2064	-12561
	-1348	-1155	12539	5636
	808	-1338	-7034	11501
	3003	1482	-11654	-10114
	1482	1824	11042	-10016
	-914	-1176	10485	13500
	-794	-2056	-13522	9109
	46	871	-9983	-14570
	-248	2471	13369	-8858
	-297	-43	10092	13107
	308	-2662	-10376	9622
	461	-1908	-10736	-8541
	652	57	4511	-10474
	1256	68	10846	1856
	835	-1477	2621	10846
	-395	-2397	-10442	5483
	-245	-1368	-9819	-10584
	969	1583	9218	-12200
	1078	4568	15674	9469
	472	4928	-7099	17050
	578	2498	-18721	-7394
	251	-19	4827	-18830
	-1570	-589	18918	5089
	-2665	303	-2337	17847
	-1015	1174	-16252	-2097
	1482	1165	-633	-13718
	1977	442	10136	-1048
	813	-305	2424	6466
	65	-802	-2544	2359
	30	-1004	-2796	535
	-316	-387	-4074	-3560
	-879	999	3615	-7165
	-868	1867	10474	4205
	-371	1534	-3244	12331
	136	368	-14286	-4216
	374	-1504	2992	-14953
	-229	-2979	15586	4281
	-1619	-1682	-3222	15160
	-2329	1400	-14832	-4707
	-1712	1750	3964	-13511
	-944	-1010	12517	5603
	-458	-2293	-5559	10726
	232	-1152	-9983	-7307
	193	-1034	7438	-8279
	-903	-2228	7897	8956
	-770	-2315	-9218	6553
	892	-1556	-6946	-10179
	841	-950	9885	-5931
	-942	30	6651	10169
	-709	305	-9175	5909
	1015	-1264	-6542	-8596
	431	-1813	6881	-5679
	-1351	622	5723	5592
	-1054	2367	-3473	4445
	-256	625	-3615	-2009
	-1013	-1990	32	-2239
	-1256	-2834	873	-1485
	-507	-1837	3309	-131
	-1400	647	1933	5417
	-3082	2596	-7110	3233
	-2419	1425	-5887	-8934
	-477	-794	9349	-6914
	292	-532	9185	10682
	663	439	-10223	9524
	1010	-221	-11184	-11119
	16	-125	9852	-10758
	-942	1370	11567	10190
	281	890	-8279	10463
	1586	-1269	-10223	-7831
	319	-1750	5537	-8355
	-1761	-1037	6979	4598
	-2064	-554	-2610	4784
	-950	690	-2992	-1430
	352	1329	-163	-1256
	1152	-562	-185	-1747
	786	-1643	3484	-939
	-442	-174	2118	5778
	-1338	-857	-7645	2239
	-1469	-3943	-3298	-9885
	-901	-3451	11381	-2337
	245	-483	2839	13413
	1040	-786	-14723	1004
	778	-1764	-1157	-16056
	2	445	17104	1529
	-1078	1056	-1332	17705
	-2258	-1933	-17945	-4194
	-1755	-2670	4270	-17388
	652	-1037	17203	7088
	1927	-1761	-6914	15564
	1275	-1884	-14690	-9175
	1272	1340	8825	-12047
	1441	1338	10616	10300
	-475	-3293	-9808	7285
	-1922	-3872	-5428	-10463
	-136	87	10125	-1900
	1460	368	163	10016
	357	-2168	-9808	-3058
	-223	-1619	4401	-9120
	701	-371	9240	6957
	292	-824	-7482	8301
	-428	748	-8541	-9054
	953	2834	8891	-7503
	1810	341	7951	9611
	376	-2733	-8869	7056
	-204	-1226	-7787	-9087
	335	32	7908	-7219
	-1045	-1884	8093	7951
	-2443	-1286	-6728	7809
	-447	2181	-8814	-7077
	2118	2176	6040	-8749
	2061	-428	9699	6935
	1477	-510	-6411	9611
	1419	237	-10518	-7940
	81	-871	7864	-10190
	-1302	-1168	10900	9753
	-436	218	-10005	9928
	1122	696	-10267	-11949
	1693	518	12353	-8366
	1938	922	8290	14123
	1425	628	-14319	5625
	13	-218	-4893	-15422
	68	-84	15575	-1529
	1523	10	524	15859
	1335	-477	-15761	-3102
	92	24	4237	-15116
	376	155	14974	7722
	647	-1974	-8443	13642
	-600	-2859	-13402	-11162
	-887	-267	11261	-11567
	237	1119	11490	12888
	150	-674	-11862	9699
	-488	-993	-9590	-11785
	169	950	9535	-7744
	188	1073	7252	7929
	-1193	-43	-4816	5286
	-1015	679	-4085	-2457
	770	1553	-535	-2457
	1253	606	1146	-3123
	890	-109	6127	360
	1430	264	1660	9218
	1780	2	-11272	2774
	1250	-791	-5286	-13085
	439	-846	13555	-5625
	-1310	-191	8017	14505
	-3001	813	-13292	8082
	-1824	1141	-9786	-12888
	379	-417	10256	-9185
	-73	-1843	9611	8858
	-767	-543	-5505	8246
	674	1228	-6914	-3637
	253	1015	1004	-4729
	-2315	1070	2446	-349
	-903	1758	1791	393
	3126	-297	1977	2970
	2277	-3309	-3735	4052
	-1250	-2129	-7045	-4532
	-527	1064	3549	-9120
	1466	966	11436	3582
	43	-740	-1441	12834
	-458	-393	-14013	-1212
	2244	832	-1485	-14690
	2427	1564	14428	-1703
	-939	2214	4128	14265
	-2255	1944	-12768	4052
	-1018	1460	-5647	-11588
	-794	2883	8967	-4751
	-882	3418	4631	7143
	404	109	-4478	2839
	1264	-1676	-1157	-2490
	576	1804	644	1092
	-385	3593	-3353	-1376
	-546	70	2774	-5636
	827	-1171	8749	4773
	3001	2241	-4696	10911
	3036	2411	-13500	-6083
	740	-1766	5024	-14603
	-480	-2498	16231	6258
	-480	1149	-4565	16449
	-1395	2897	-16864	-5341
	-966	1097	3386	-16023
	2433	-1267	15226	3899
	4000	-2181	-2151	13675
	1460	-740	-12156	-2239
	-289	1654	764	-9906
	401	1414	7897	1026
	98	-860	-283	5821
	-505	-532	-4259	-633
	780	2482	109	-2828
	764	4205	1627	425
	-1884	4033	-349	884
	-2550	3189	-425	-611
	-783	1015	666	-120
	-1116	-1357	0	1146
	-2348	-1092	-1616	-32
	-264	707	-240	-2337
	2512	1138	3167	-32
	1810	819	436	4401
	-202	761	-5767	43
	-693	-133	-797	-7427
	-606	-1067	8978	-163
