	622	740	2140	2938
	-1165	92	1496	5778
	-1466	-2099	3233	5275
	428	-2951	469	262
	821	-917	-8246	-1518
	-778	-125	-11108	3735
	-1193	-1990	-2031	6684
	-330	-1316	7034	524
	-349	2397	5832	-6335
	-535	2670	830	-5505
	324	-638	-1081	-1747
	740	-974	-3342	-174
	180	1501	-5166	2184
	423	1564	-415	4543
	1182	188	5199	1758
	647	688	1430	-1616
	30	1160	-4838	2479
	1234	273	-1594	7689
	2192	486	4489	3386
	578	1389	1365	-3506
	-1370	802	-3866	-141
	-898	696	808	6575
	562	2127	6957	2064
	630	1490	720	-6302
	-202	-865	-7897	-2031
	-535	223	-1900	6182
	-223	3320	7350	76
	243	2009	251	-8563
	128	-2088	-9426	688
	-846	-2471	-731	11730
	-1127	-371	8377	1572
	573	-920	-3888	-10289
	2179	-2686	-14712	65
	1335	-2173	-1277	10922
	-251	-1261	11720	513
	-188	-1930	3134	-7438
	147	-1559	-3724	4292
	-824	857	4303	10169
	-1428	1695	2359	-1430
	-551	-357	-13675	-3801
	232	-1619	-13325	8202
	393	-360	4685	5876
	846	344	7503	-11184
	849	-898	-6772	-12211
	-289	-1043	-8617	2621
	-745	950	2282	4183
	333	1690	567	-6837
	1015	152	-10638	-4653
	696	-270	-7416	7951
	679	909	5231	6225
	412	120	3102	-7208
	-1021	-2206	-9961	-8825
	-1638	-1695	-10518	644
	-253	1034	-43	1135
	630	1146	983	-5974
	-117	-1127	-6466	-2577
	-57	-1469	-4259	8202
	1400	49	5581	6946
	1774	62	5046	-4565
	625	-1212	-4423	-6586
	-177	-1190	-4893	2435
	-395	16	4631	5723
	-737	573	8421	-76
	-704	232	2992	-1845
	-267	-30	-141	4500
	-352	106	3156	8672
	-477	-73	4500	4849
	360	-1092	-709	-415
	1004	-1914	-5592	-578
	-125	-1280	-3309	1004
	-2181	-387	1561	-917
	-3271	-1108	1256	-1998
	-2596	-2211	-633	3386
	-521	-1613	2632	7045
	1196	-395	3997	-218
	458	103	-3593	-8104
	-1682	1359	-7416	-4740
	-1632	3293	2097	-1605
	761	2463	7995	-8912
	1534	-1354	-961	-10343
	-494	-3459	-5363	2785
	-1804	-1952	4587	8268
	-619	-141	7482	-2435
	690	-49	-1725	-5013
	578	-182	895	4849
	161	311	13139	1125
	-117	813	5898	-12823
	-912	1327	-13325	-6335
	-1774	1703	-11020	11905
	-1884	1092	3833	7766
	-1310	-141	-808	-7755
	51	-682	-12462	-1845
	1865	-611	-2938	11632
	1941	-772	9448	3790
	-456	-876	-1813	-7689
	-2053	-409	-15488	1605
	-690	259	-7383	10638
	1105	879	1966	-808
	1643	1501	-5526	-9994
	2700	1561	-9426	-699
	3689	537	972	5210
	1720	-857	3407	-2588
	-1064	-1368	-7056	-3211
	-212	-505	-6378	5963
	1930	925	6149	1966
	559	1392	5068	-12146
	-1818	491	-7012	-9098
	-843	-114	-3528	7034
	628	707	9983	6903
	-931	1477	5341	-6007
	-2181	860	-10627	-3670
	-368	79	-9109	8519
	838	139	3014	3986
	-821	-24	43	-8399
	-1739	-543	-7580	-3102
	259	139	2315	6914
